OrderID,Date,Region,Product,SalesRep,UnitsSold,UnitPrice,TotalSale
1139,2025-05-23,North,Widget A,R. Patel,6.0,96.65,579.9
1140,2025-07-29,East,Widget A,A. Khan,22.0,85.27,1875.94
1141,2025-11-09,South,Widget A,J. Smith,3.0,93.69,281.07
1142,2025-11-06,East,Widget A,R. Patel,33.0,165.86,5473.38
1143,2025-01-01,East,Widget B,R. Patel,27.0,15.57,420.39
1144,2025-09-23,North,Widget A,R. Patel,49.0,15.06,737.94
1145,2025-05-17,South,Widget C,R. Patel,45.0,99.52,4478.4
1146,2025-01-15,North,Widget B,A. Khan,20.0,112.41,2248.2
1147,2025-10-10,North,Widget B,J. Smith,30.0,189.68,5690.4
1148,2025-03-20,South,Widget C,J. Smith,46.0,58.32,2682.72
1149,2025-05-09,South,Widget A,J. Smith,10.0,79.8,798.0
1150,2025-09-18,South,Widget A,M. Chen,50.0,159.05,7952.5
1151,2025-01-08,East,Widget B,M. Chen,1.0,60.15,60.15
1152,2025-06-02,North,Widget A,A. Khan,29.0,110.02,3190.58
1153,2025-06-26,North,Widget B,R. Patel,30.0,186.91,5607.3
1154,2025-04-07,South,Widget B,R. Patel,15.0,171.92,2578.8
1155,2025-07-30,East,Widget A,R. Patel,26.0,197.74,5141.24
1156,2025-03-19,North,Widget B,J. Smith,38.0,69.74,2650.12
1157,2025-02-21,North,Widget B,R. Patel,1.0,145.88,145.88
1158,2025-07-29,South,Widget A,R. Patel,17.0,71.02,1207.34
1159,2025-07-23,North,Widget C,J. Smith,25.0,191.06,4776.5
1160,2025-09-07,North,Widget B,J. Smith,16.0,128.08,2049.28
1161,2025-05-28,South,Widget A,R. Patel,7.0,153.27,1072.89
1162,2025-02-21,South,Widget C,J. Smith,3.0,68.25,204.75
1163,2025-01-29,East,Widget C,R. Patel,10.0,52.62,526.2
1164,2025-07-30,South,Widget B,A. Khan,12.0,20.4,244.8
1165,2025-07-15,South,Widget B,R. Patel,38.0,32.91,1250.58
1166,2025-08-25,East,Widget A,J. Smith,43.0,6.83,293.69
1167,2025-08-27,South,Widget B,A. Khan,5.0,91.14,455.7
1168,2025-06-26,East,Widget A,M. Chen,30.0,169.83,5094.9
1169,2025-12-04,East,Widget A,J. Smith,16.0,79.37,1269.92
1170,2025-07-03,East,Widget C,J. Smith,43.0,82.18,3533.74
1171,2025-01-05,East,Widget A,J. Smith,48.0,101.86,4889.28
1172,2025-05-27,North,Widget C,A. Khan,41.0,42.08,1725.28
1173,2025-05-09,East,Widget B,J. Smith,41.0,131.04,5372.64
1174,2025-08-06,North,Widget B,M. Chen,47.0,30.63,1439.61
1175,2025-01-06,South,Widget A,A. Khan,13.0,30.77,400.01
1176,2025-04-10,North,Widget B,M. Chen,11.0,55.11,606.21
1177,2025-04-09,South,Widget C,J. Smith,30.0,192.76,5782.8
1178,2025-03-14,East,Widget A,J. Smith,24.0,22.61,542.64
1179,2025-07-22,East,Widget B,J. Smith,30.0,95.50999999999999,2865.3
1180,2025-05-15,West,Widget C,J. Smith,44.0,50.6,2226.4
1181,2025-01-13,North,Widget C,J. Smith,15.0,131.29,1969.35
1182,2025-08-26,East,Widget A,J. Smith,9.0,13.84,124.56
1183,2025-01-20,West,Widget A,J. Smith,16.0,178.02,2848.32
1184,2025-11-03,North,Widget C,J. Smith,27.0,119.53,3227.31
1185,2025-03-21,South,Widget A,R. Patel,40.0,84.58,3383.2
1186,2025-05-24,South,Widget C,A. Khan,29.0,91.72,2659.88
1187,2025-01-05,North,Widget C,J. Smith,42.0,74.94,3147.48
1188,2025-07-23,South,Widget A,R. Patel,6.0,134.24,805.44
1189,2025-01-11,East,Widget C,A. Khan,9.0,158.46,1426.14
1190,2025-04-16,East,Widget B,A. Khan,38.0,47.11,1790.18
1191,2025-04-30,East,Widget B,J. Smith,1.0,59.07,59.07
1192,2025-03-16,North,Widget C,A. Khan,8.0,133.91,1071.28
1193,2025-01-14,North,Widget C,A. Khan,38.0,68.14,2589.32
1194,2025-03-31,North,Widget B,R. Patel,26.0,95.50999999999999,2483.26
1195,2025-02-02,West,Widget C,J. Smith,38.0,26.27,998.26
1196,2025-09-15,North,Widget A,J. Smith,26.0,94.32,2452.32
1197,2025-01-16,West,Widget A,R. Patel,44.0,26.05,1146.2
1198,2025-08-16,North,Widget C,J. Smith,10.0,17.81,178.1
1199,2025-05-21,South,Widget B,J. Smith,46.0,68.41,3146.86
1200,2025-09-29,West,Widget B,J. Smith,28.0,24.34,681.52
1201,2025-02-28,South,Widget B,A. Khan,28.0,93.05,2605.4
1202,2025-04-27,East,Widget A,R. Patel,27.0,147.27,3976.29
1203,2025-10-06,East,Widget C,M. Chen,10.0,138.93,1389.3
1204,2025-08-31,North,Widget A,J. Smith,28.0,23.83,667.24
1205,2025-07-10,North,Widget A,J. Smith,36.0,114.53,4123.08
1206,2025-04-03,East,Widget A,J. Smith,19.0,122.08,2319.52
1207,2025-06-30,North,Widget B,A. Khan,10.0,133.06,1330.6
1208,2025-04-25,East,Widget B,M. Chen,8.0,153.71,1229.68
1209,2025-10-21,East,Widget A,J. Smith,50.0,164.59,8229.5
1210,2025-10-13,North,Widget C,J. Smith,12.0,58.29,699.48
1211,2025-08-06,East,Widget A,A. Khan,10.0,115.43,1154.3
1212,2025-07-25,South,Widget A,J. Smith,48.0,108.44,5205.12
1213,2025-12-07,West,Widget C,A. Khan,24.0,65.77,1578.48
1214,2025-06-16,North,Widget A,J. Smith,10.0,35.69,356.9
1215,2025-01-26,North,Widget C,R. Patel,43.0,87.68,3770.24
1216,2025-08-15,East,Widget B,J. Smith,8.0,72.31,578.48
1217,2025-02-26,South,Widget B,R. Patel,34.0,135.09,4593.06
1218,2025-01-24,North,Widget B,J. Smith,1.0,44.86,44.86
1219,2025-04-19,East,Widget C,M. Chen,21.0,28.4,596.4
1220,2025-09-12,West,Widget B,A. Khan,25.0,108.85,2721.25
1221,2025-04-28,North,Widget C,J. Smith,26.0,173.04,4499.04
1222,2025-01-22,North,Widget A,J. Smith,21.0,117.27,2462.67
1223,2025-10-21,South,Widget A,M. Chen,8.0,83.98,671.84
1224,2025-06-16,East,Widget B,J. Smith,45.0,184.36,8296.2
1225,2025-02-15,East,Widget A,A. Khan,28.0,119.83,3355.24
1226,2025-09-26,West,Widget C,M. Chen,15.0,69.95,1049.25
1227,2025-03-28,North,Widget A,J. Smith,33.0,42.81,1412.73
1228,2025-06-28,South,Widget B,A. Khan,7.0,33.56,234.92
1229,2025-04-12,North,Widget B,J. Smith,12.0,190.5,2286.0
1230,2025-10-09,East,Widget B,J. Smith,29.0,137.82,3996.78
1231,2025-10-17,South,Widget B,M. Chen,41.0,66.65,2732.65
1232,2025-08-14,West,Widget A,M. Chen,18.0,120.33,2165.94
1233,2025-06-30,North,Widget C,R. Patel,29.0,12.33,357.57
1234,2025-08-07,North,Widget A,J. Smith,39.0,103.88,4051.32
1235,2025-08-25,North,Widget A,R. Patel,37.0,132.11,4888.07
1236,2025-06-14,West,Widget B,A. Khan,4.0,92.85,371.4
1237,2025-06-25,North,Widget B,A. Khan,3.0,95.50999999999999,286.53
1238,2025-08-13,North,Widget B,J. Smith,11.0,75.96,835.56
1239,2025-05-25,West,Widget C,J. Smith,4.0,158.9,635.6
1240,2025-06-21,East,Widget A,J. Smith,44.0,80.38,3536.72
1241,2025-05-10,East,Widget B,A. Khan,22.0,20.89,459.58
1242,2025-03-14,East,Widget A,A. Khan,39.0,143.22,5585.58
1243,2025-02-13,North,Widget A,M. Chen,9.0,135.67,1221.03
1244,2025-09-27,South,Widget A,J. Smith,24.0,8.55,205.2
1245,2025-06-08,South,Widget C,R. Patel,13.0,49.18,639.34
1246,2025-03-12,North,Widget C,J. Smith,33.0,155.32,5125.56
1247,2025-09-27,South,Widget C,J. Smith,9.0,121.46,1093.14
1248,2025-03-20,South,Widget B,A. Khan,47.0,90.35,4246.45
1249,2025-07-30,South,Widget B,R. Patel,40.0,60.56,2422.4
1250,2025-08-18,North,Widget B,M. Chen,31.0,181.27,5619.37
1251,2025-10-04,South,Widget B,R. Patel,30.0,155.04,4651.2
1252,2025-07-15,North,Widget A,A. Khan,13.0,161.25,2096.25
1253,2025-12-03,North,Widget A,M. Chen,36.0,187.19,6738.84
1254,2025-09-22,East,Widget A,A. Khan,18.0,92.62,1667.16
1255,2025-09-20,East,Widget A,J. Smith,15.0,164.26,2463.9
1256,2025-06-28,West,Widget A,R. Patel,33.0,77.92,2571.36
1257,2025-07-17,North,Widget B,J. Smith,21.0,186.51,3916.71
1258,2025-06-21,South,Widget A,M. Chen,31.0,140.73,4362.63
1259,2025-03-13,North,Widget A,J. Smith,1.0,181.64,181.64
1260,2025-10-01,South,Widget B,J. Smith,47.0,123.73,5815.31
1261,2025-08-05,East,Widget C,A. Khan,20.0,28.76,575.2
1262,2025-03-05,South,Widget B,R. Patel,5.0,26.62,133.1
1263,2025-09-13,North,Widget A,J. Smith,37.0,52.18,1930.66
1264,2025-03-15,West,Widget A,J. Smith,23.0,51.91,1193.93
1265,2025-08-02,South,Widget A,J. Smith,24.0,18.2,436.8
1266,2025-09-27,North,Widget B,J. Smith,2.0,81.14,162.28
1267,2025-08-29,North,Widget A,M. Chen,17.0,150.73,2562.41
1268,2025-07-02,East,Widget B,J. Smith,50.0,118.47,5923.5
1269,2025-06-20,North,Widget C,J. Smith,22.0,163.63,3599.86
1270,2025-03-31,West,Widget A,A. Khan,9.0,17.3,155.7
1271,2025-08-23,East,Widget B,J. Smith,13.0,177.73,2310.49
1272,2025-11-06,North,Widget A,J. Smith,31.0,54.4,1686.4
1273,2025-08-04,North,Widget A,M. Chen,18.0,29.27,526.86
1274,2025-08-07,West,Widget A,R. Patel,22.0,194.88,4287.36
1275,2025-09-12,West,Widget C,J. Smith,18.0,161.22,2901.96
1276,2025-08-06,West,Widget B,A. Khan,35.0,62.28,2179.8
1277,2025-02-22,East,Widget C,M. Chen,29.0,122.51,3552.79
1278,2025-08-07,South,Widget A,M. Chen,29.0,13.26,384.54
1279,2025-06-30,West,Widget C,J. Smith,5.0,135.88,679.4
1280,2025-07-27,North,Widget B,J. Smith,10.0,170.49,1704.9
1281,2025-08-13,South,Widget A,A. Khan,50.0,130.81,6540.5
1282,2025-05-07,North,Widget A,J. Smith,10.0,137.42,1374.2
1283,2025-09-07,West,Widget A,J. Smith,9.0,108.24,974.16
1284,2025-07-23,South,Widget C,A. Khan,8.0,10.05,80.4
1285,2025-06-04,North,Widget A,J. Smith,8.0,56.05,448.4
1286,2025-05-14,West,Widget B,J. Smith,19.0,140.33,2666.27
1287,2025-09-09,North,Widget B,J. Smith,29.0,38.67,1121.43
1288,2025-08-16,East,Widget C,M. Chen,46.0,17.66,812.36
1289,2025-05-10,East,Widget B,A. Khan,24.0,104.21,2501.04
1290,2025-03-04,East,Widget B,A. Khan,32.0,10.13,324.16
1291,2025-10-11,East,Widget A,J. Smith,9.0,124.33,1118.97
1292,2025-02-14,East,Widget A,R. Patel,34.0,85.11,2893.74
1293,2025-07-29,North,Widget B,M. Chen,42.0,19.46,817.32
1294,2025-08-27,North,Widget C,A. Khan,50.0,112.5,5625.0
1295,2025-10-28,East,Widget B,R. Patel,33.0,182.59,6025.47
1296,2025-01-29,North,Widget B,M. Chen,11.0,95.50999999999999,1050.61
1297,2025-04-26,North,Widget C,J. Smith,17.0,43.28,735.76
1298,2025-10-10,South,Widget C,J. Smith,35.0,23.22,812.7
1299,2025-03-28,North,Widget B,A. Khan,43.0,126.77,5451.11
1300,2025-06-22,North,Widget A,J. Smith,3.0,189.97,569.91
1301,2025-10-23,South,Widget B,J. Smith,27.0,125.53,3389.31
1302,2025-01-16,South,Widget B,M. Chen,42.0,191.55,8045.1
1303,2025-09-05,East,Widget A,M. Chen,30.0,19.23,576.9
1304,2025-01-31,West,Widget A,R. Patel,30.0,44.78,1343.4
1305,2025-03-15,East,Widget C,M. Chen,26.0,30.5,793.0
1306,2025-07-09,North,Widget A,M. Chen,16.0,95.50999999999999,1528.16
1307,2025-05-17,South,Widget B,J. Smith,4.0,61.59,246.36
1308,2025-07-16,West,Widget B,J. Smith,21.0,187.08,3928.68
1309,2025-06-10,East,Widget B,R. Patel,33.0,96.03,3168.99
1310,2025-07-06,North,Widget A,R. Patel,33.0,94.16,3107.28
1311,2025-05-04,North,Widget C,J. Smith,4.0,59.86,239.44
1312,2025-08-29,North,Widget A,J. Smith,28.0,95.50999999999999,2674.28
1313,2025-05-16,East,Widget A,M. Chen,3.0,83.11,249.33
1314,2025-10-19,South,Widget C,J. Smith,19.0,19.34,367.46
1315,2025-09-16,East,Widget B,M. Chen,40.0,137.68,5507.2
1316,2025-03-02,North,Widget A,M. Chen,26.0,113.78,2958.28
1317,2025-07-07,South,Widget B,J. Smith,26.0,102.52,2665.52
1318,2025-01-24,South,Widget C,R. Patel,34.0,94.11,3199.74
1319,2025-09-21,East,Widget B,M. Chen,11.0,95.50999999999999,1050.61
1320,2025-06-03,East,Widget B,J. Smith,35.0,100.52,3518.2
1321,2025-10-16,West,Widget A,M. Chen,22.0,136.39,3000.58
1322,2025-08-02,East,Widget A,J. Smith,31.0,56.78,1760.18
1323,2025-10-24,South,Widget A,J. Smith,31.0,38.25,1185.75
1324,2025-07-14,East,Widget B,J. Smith,37.0,189.9,7026.3
1325,2025-02-26,North,Widget A,M. Chen,27.0,34.53,932.31
1326,2025-04-15,North,Widget B,R. Patel,48.0,146.84,7048.32
1327,2025-03-12,South,Widget B,M. Chen,43.0,98.28,4226.04
1328,2025-12-07,South,Widget A,J. Smith,22.0,111.52,2453.44
1329,2025-05-16,West,Widget B,A. Khan,18.0,113.83,2048.94
1330,2025-04-26,East,Widget C,A. Khan,45.0,142.47,6411.15
1331,2025-12-06,East,Widget B,M. Chen,19.0,28.77,546.63
1332,2025-06-10,West,Widget C,A. Khan,19.0,13.2,250.8
1333,2025-10-02,West,Widget C,R. Patel,14.0,44.4,621.6
1334,2025-03-10,North,Widget C,A. Khan,7.0,125.06,875.42
1335,2025-10-28,South,Widget A,J. Smith,15.0,129.4,1941.0
1336,2025-01-27,West,Widget C,R. Patel,7.0,137.83,964.81
1337,2025-03-12,North,Widget B,R. Patel,42.0,187.33,7867.86
1338,2025-01-09,South,Widget B,M. Chen,21.0,60.66,1273.86
1339,2025-01-31,South,Widget B,A. Khan,35.0,149.04,5216.4
1340,2025-01-20,West,Widget B,J. Smith,26.0,158.65,4124.9
1341,2025-04-06,East,Widget C,J. Smith,1.0,63.19,63.19
1342,2025-02-24,East,Widget A,J. Smith,34.0,101.31,3444.54
1343,2025-03-10,West,Widget C,A. Khan,8.0,69.48,555.84
1344,2025-08-23,East,Widget B,J. Smith,48.0,70.74,3395.52
1345,2025-06-01,South,Widget B,A. Khan,40.0,95.50999999999999,3820.4
1346,2025-07-27,North,Widget C,J. Smith,26.0,135.5,3523.0
1347,2025-04-05,West,Widget C,A. Khan,1.0,55.85,55.85
1348,2025-01-05,East,Widget C,M. Chen,20.0,118.58,2371.6
1349,2025-10-21,East,Widget C,A. Khan,4.0,135.22,540.88
1350,2025-08-27,South,Widget A,J. Smith,46.0,155.12,7135.52
1351,2025-03-02,East,Widget C,J. Smith,15.0,47.73,715.95
1352,2025-10-03,South,Widget A,J. Smith,24.0,86.09,2066.16
1353,2025-09-10,East,Widget B,A. Khan,49.0,53.26,2609.74
1354,2025-02-11,West,Widget B,M. Chen,5.0,183.86,919.3
1355,2025-02-27,East,Widget B,J. Smith,13.0,116.68,1516.84
1356,2025-03-18,East,Widget B,R. Patel,8.0,137.66,1101.28
1357,2025-10-26,North,Widget B,R. Patel,4.0,93.42,373.68
1358,2025-09-20,West,Widget B,J. Smith,36.0,95.16,3425.76
1359,2025-06-07,North,Widget A,M. Chen,1.0,150.43,150.43
1360,2025-10-24,North,Widget A,M. Chen,45.0,17.43,784.35
1361,2025-01-31,West,Widget A,M. Chen,26.0,40.1,1042.6
1362,2025-03-11,South,Widget A,M. Chen,25.0,92.46,2311.5
1363,2025-07-13,North,Widget B,A. Khan,42.0,172.76,7255.92
1364,2025-03-02,North,Widget A,J. Smith,9.0,146.93,1322.37
1365,2025-04-25,East,Widget A,M. Chen,30.0,136.33,4089.9
1366,2025-06-10,North,Widget A,A. Khan,16.0,94.82,1517.12
1367,2025-03-21,South,Widget A,J. Smith,43.0,86.75,3730.25
1368,2025-01-09,South,Widget A,J. Smith,39.0,11.55,450.45
1369,2025-01-25,South,Widget A,J. Smith,29.0,50.7,1470.3
1370,2025-04-22,South,Widget B,M. Chen,15.0,164.08,2461.2
1371,2025-10-22,North,Widget B,M. Chen,26.0,63.84,1659.84
1372,2025-03-15,North,Widget B,R. Patel,20.0,58.66,1173.2
1373,2025-10-13,South,Widget B,R. Patel,36.0,101.65,3659.4
1374,2025-06-26,South,Widget A,J. Smith,26.0,140.78,3660.28
1375,2025-07-29,East,Widget A,A. Khan,49.0,109.9,5385.1
1376,2025-05-04,East,Widget B,R. Patel,4.0,114.67,458.68
1377,2025-08-02,North,Widget B,R. Patel,26.0,54.72,1422.72
1378,2025-06-19,North,Widget A,M. Chen,6.0,109.45,656.7
1379,2025-04-08,East,Widget A,J. Smith,39.0,12.71,495.69
1380,2025-02-07,East,Widget B,J. Smith,14.0,98.48,1378.72
1381,2025-06-20,North,Widget B,A. Khan,48.0,27.88,1338.24
1382,2025-09-03,South,Widget B,A. Khan,26.0,183.45,4769.7
1383,2025-10-10,East,Widget C,R. Patel,30.0,109.06,3271.8
1384,2025-03-07,East,Widget C,J. Smith,32.0,95.87,3067.84
1385,2025-08-29,South,Widget C,M. Chen,27.0,13.91,375.57
1386,2025-04-24,South,Widget A,M. Chen,36.0,187.28,6742.08
1387,2025-10-24,West,Widget C,A. Khan,13.0,69.32,901.16
